release_year,cast,vote_average
1989,Sally Kirkland,5.80078125
1989,Chris Penn,5.80078125
1989,Sylvester Stallone,6.1015625
1989,Donald Sutherland,6.1015625
1989,John Amos,6.1015625
1989,Sonny Landham,6.1015625
1989,Tom Sizemore,6.1015625
1989,Dolph Lundgren,5.19921875
1989,"Louis Gossett, Jr.",5.19921875
1989,Jeroen KrabbÃ©,5.19921875
1989,Kim Miyori,5.19921875
1989,Bryan Marshall,5.19921875
1989,John Candy,5.6015625
1989,Jeffrey Jones,5.6015625
1989,Annie Potts,5.6015625
1989,Tim Thomerson,5.6015625
1989,Barry Corbin,5.6015625
1989,Kane Hodder,4.69921875
1989,Jensen Daggett,4.69921875
1989,Scott Reeves,4.69921875
1989,Barbara Bingham,4.69921875
1989,Peter Mark Richman,4.69921875
1989,Richard Dreyfuss,5.80078125
1989,Holly Hunter,5.80078125
1989,John Goodman,5.80078125
1989,Audrey Hepburn,5.80078125
1989,Brad Johnson,5.80078125
1989,Bubba Smith,4.80078125
1989,David Graf,4.80078125
1989,Michael Winslow,4.80078125
1989,Leslie Easterbrook,4.80078125
1989,G. W. Bailey,4.80078125
1989,Eric Stoltz,4.8984375
1989,Daphne Zuniga,4.8984375
1989,Lee Richardson,4.8984375
1989,John Getz,4.8984375
1989,Frank C. Turner,4.8984375
1989,Anthony Edwards,6.8984375
1989,Mare Winningham,6.8984375
1989,John Agar,6.8984375
1989,Lou Hancock,6.8984375
1989,Mykelti Williamson,6.8984375
1989,Tom Hanks,5.8984375
1989,Mare Winningham,5.8984375
1989,Craig T. Nelson,5.8984375
1989,Scott Paulin,5.8984375
1989,John McIntire,5.8984375
1989,Helen Mirren,6.8984375
1989,Michael Gambon,6.8984375
1989,Tim Roth,6.8984375
1989,Richard Bohringer,6.8984375
1989,Alan Howard,6.8984375
1989,Michael Keaton,5.69921875
1989,Christopher Lloyd,5.69921875
1989,Peter Boyle,5.69921875
1989,Stephen Furst,5.69921875
1989,Lorraine Bracco,5.69921875
1989,Burt Reynolds,6.30078125
1989,Dom DeLuise,6.30078125
1989,Judith Barsi,6.30078125
1989,Melba Moore,6.30078125
1989,Daryl Gilley,6.30078125
1989,Rutger Hauer,5.80078125
1989,Terry O'Quinn,5.80078125
1989,Brandon Call,5.80078125
1989,Noble Willingham,5.80078125
1989,Lisa Blount,5.80078125
1989,Eddie Murphy,5.8984375
1989,Richard Pryor,5.8984375
1989,Redd Foxx,5.8984375
1989,Danny Aiello,5.8984375
1989,Michael Lerner,5.8984375
1989,Al Pacino,6.69921875
1989,John Goodman,6.69921875
1989,Michael Rooker,6.69921875
1989,William Hickey,6.69921875
1989,Richard Jenkins,6.69921875
1989,David Jason,6.80078125
1989,Amanda Root,6.80078125
1989,Nicole Kidman,6.30078125
1989,Sam Neill,6.30078125
1989,Billy Zane,6.30078125
1989,George Shevtsov,6.30078125
1989,Rod Mullinar,6.30078125
1989,Julian Sands,5.69921875
1989,Lori Singer,5.69921875
1989,Richard E. Grant,5.69921875
1989,Mary Woronov,5.69921875
1989,Kevin O'Brien,5.69921875
1989,Mickey Rourke,5.80078125
1989,Ellen Barkin,5.80078125
1989,Morgan Freeman,5.80078125
1989,Forest Whitaker,5.80078125
1989,Elizabeth McGovern,5.80078125
1989,Michael Murphy,5.8984375
1989,Mitch Pileggi,5.8984375
1989,Sam Scarber,5.8984375
1989,Camille Cooper,5.8984375
1989,Ted Raimi,5.8984375
1989,Morgan Freeman,6.8984375
1989,Jessica Tandy,6.8984375
1989,Dan Aykroyd,6.8984375
1989,Patti LuPone,6.8984375
1989,Esther Rolle,6.8984375
1989,Robert Englund,5.5
1989,Jill Schoelen,5.5
1989,Alex Hyde-White,5.5
1989,Bill Nighy,5.5
1989,Stephanie Lawrence,5.5
1989,Woody Allen,6.8984375
1989,Martin Landau,6.8984375
1989,Anjelica Huston,6.8984375
1989,Joanna Gleason,6.8984375
1989,Alan Alda,6.8984375
1989,Michael Douglas,6.0
1989,Andy GarcÃ­a,6.0
1989,Kate Capshaw,6.0
1989,Shigeru KÃ´yama,6.0
1989,John Spencer,6.0
1989,Ron Fazio,5.19921875
1989,John Altamura,5.19921875
1989,Phoebe Legere,5.19921875
1989,Rick Collins,5.19921875
1989,Rikiya Yasuoka,5.19921875
1989,Woody Allen,5.80078125
1989,Marvin Chatinover,5.80078125
1989,Mae Questel,5.80078125
1989,Mia Farrow,5.80078125
1989,Molly Regan,5.80078125
1989,Jacqueline Bisset,4.3984375
1989,CarrÃ© Otis,4.3984375
1989,Mickey Rourke,4.3984375
1989,Assumpta Serna,4.3984375
1989,Bruce Greenwood,4.3984375
1989,Axel Jodorowsky,5.5
1989,Blanca Guerra,5.5
1989,Guy Stockwell,5.5
1989,Thelma Tixou,5.5
1989,Sabrina Dennison,5.5
1989,Jeff Bridges,6.5
1989,Michelle Pfeiffer,6.5
1989,Beau Bridges,6.5
1989,Ellie Raab,6.5
1989,Xander Berkeley,6.5
1989,Sally Field,6.8984375
1989,Dolly Parton,6.8984375
1989,Shirley MacLaine,6.8984375
1989,Julia Roberts,6.8984375
1989,Daryl Hannah,6.8984375
1989,Daniel Day-Lewis,7.30078125
1989,Brenda Fricker,7.30078125
1989,Alison Whelan,7.30078125
1989,Declan Croghan,7.30078125
1989,Eanna MacLiam,7.30078125
1989,Taurean Blacque,5.19921875
1989,Nancy Everhard,5.19921875
1989,Greg Evigan,5.19921875
1989,Miguel Ferrer,5.19921875
1989,Nia Peeples,5.19921875
1989,Robyn Lively,5.3984375
1989,Dan Gauthier,5.3984375
1989,Joshua John Miller,5.3984375
1989,Caren Kaye,5.3984375
1989,Dick Sargent,5.3984375
1989,Tom Selleck,5.1015625
1989,Paulina Porizkova,5.1015625
1989,William Daniels,5.1015625
1989,James Farentino,5.1015625
1989,Patrick Wayne,5.1015625
1989,Cybill Shepherd,6.69921875
1989,Robert Downey Jr.,6.69921875
1989,Mary Stuart Masterson,6.69921875
1989,Christopher McDonald,6.69921875
1989,Josef Sommer,6.69921875
1989,Ron Fazio,4.80078125
1989,John Altamura,4.80078125
1989,Rick Collins,4.80078125
1989,Phoebe Legere,4.80078125
1989,Lisa Gaye,4.80078125
1989,Ossie Davis,7.5
1989,Danny Aiello,7.5
1989,Giancarlo Esposito,7.5
1989,Richard Edson,7.5
1989,Spike Lee,7.5
1989,Paul Le Mat,5.6015625
1989,William Hickey,5.6015625
1989,Irene Miracle,5.6015625
1989,Jimmie F. Skaggs,5.6015625
1989,Robin Frates,5.6015625
1989,Kenneth Branagh,7.3984375
1989,Derek Jacobi,7.3984375
1989,Brian Blessed,7.3984375
1989,James Larkin,7.3984375
1989,Paul Scofield,7.3984375
1989,Michael Moore,7.1015625
1989,Roger B. Smith,7.1015625
1989,Rhonda Britton,7.1015625
1989,Fred Ross,7.1015625
1989,Rutger Hauer,6.1015625
1989,Joan Chen,6.1015625
1989,Delroy Lindo,6.1015625
1989,Anna Katarina,6.1015625
1989,Vincent D'Onofrio,6.1015625
1989,Gene Hackman,4.80078125
1989,Joanna Cassidy,4.80078125
1989,Tommy Lee Jones,4.80078125
1989,John Heard,4.80078125
1989,Dennis Franz,4.80078125
1989,Patrick Dempsey,6.5
1989,Kirstie Alley,6.5
1989,Carrie Fisher,6.5
1989,Kate Jackson,6.5
1989,Nancy Valen,6.5
1989,Masatoshi Nagase,6.5
1989,Youki Kudoh,6.5
1989,Joe Strummer,6.5
1989,Nicoletta Braschi,6.5
1989,Steve Buscemi,6.5
1989,Louis Jourdan,4.80078125
1989,Heather Locklear,4.80078125
1989,Sarah Douglas,4.80078125
1989,Dick Durock,4.80078125
1989,Joey Sagal,4.80078125
1989,Lena Farugia,6.8984375
1989,Hans Strydom,6.8984375
1989,Eiros,6.8984375
1989,N!xau,6.8984375
1989,Nadies,6.8984375
1989,Donald Pleasence,5.19921875
1989,Danielle Harris,5.19921875
1989,Ellie Cornell,5.19921875
1989,Beau Starr,5.19921875
1989,Don Shanks,5.19921875
1989,John Cusack,6.69921875
1989,Ione Skye,6.69921875
1989,John Mahoney,6.69921875
1989,Lili Taylor,6.69921875
1989,Amy Brooks,6.69921875
1989,Corey Feldman,5.5
1989,Corey Haim,5.5
1989,Jason Robards,5.5
1989,Meredith Salenger,5.5
1989,Piper Laurie,5.5
1989,Patrick Swayze,5.0
1989,Liam Neeson,5.0
1989,Adam Baldwin,5.0
1989,Helen Hunt,5.0
1989,Bill Paxton,5.0
1989,Donna Akersten,6.19921875
1989,Stuart Devenie,6.19921875
1989,Mark Hadlow,6.19921875
1989,Brian Sergent,6.19921875
1989,Ross Jolly,6.19921875
1989,Gary Graham,4.6015625
1989,Anne-Marie Johnson,4.6015625
1989,Paul Koslo,4.6015625
1989,Robert Sampson,4.6015625
1989,Danny Kamekona,4.6015625
1989,Robert De Niro,6.0
1989,Kathy Baker,6.0
1989,Ed Harris,6.0
1989,Ivar Brogger,6.0
1989,Jordan Lund,6.0
1989,Shelley Long,5.8984375
1989,Craig T. Nelson,5.8984375
1989,Betty Thomas,5.8984375
1989,Mary Gross,5.8984375
1989,Carla Gugino,5.8984375
1989,Kris Kristofferson,5.0
1989,Cheryl Ladd,5.0
1989,Daniel J. Travanti,5.0
1989,Robert Joy,5.0
1989,Lloyd Bochner,5.0
1989,Kevin Costner,6.80078125
1989,Amy Madigan,6.80078125
1989,Gaby Hoffmann,6.80078125
1989,Ray Liotta,6.80078125
1989,Timothy Busfield,6.80078125
1989,Tim Robbins,5.80078125
1989,Mickey Rooney,5.80078125
1989,Eartha Kitt,5.80078125
1989,Terry Jones,5.80078125
1989,Imogen Stubbs,5.80078125
1989,Patrick Swayze,6.30078125
1989,Kelly Lynch,6.30078125
1989,Sam Elliott,6.30078125
1989,Ben Gazzara,6.30078125
1989,Marshall R. Teague,6.30078125
1989,Chevy Chase,5.8984375
1989,Hal Holbrook,5.8984375
1989,Julianne Phillips,5.8984375
1989,R. Lee Ermey,5.8984375
1989,Richard Libertini,5.8984375
1989,F. Murray Abraham,7.0
1989,Laila Robins,7.0
1989,David Rasche,7.0
1989,Tom Selleck,7.0
1989,Todd Graff,7.0
1989,Jessica Lange,7.0
1989,Armin Mueller-Stahl,7.0
1989,Donald Moffat,7.0
1989,Lukas Haas,7.0
1989,Cheryl Lynn Bruce,7.0
1989,Denzel Washington,5.3984375
1989,James Fox,5.3984375
1989,Mimi Rogers,5.3984375
1989,M. Emmet Walsh,5.3984375
1989,Sheryl Lee Ralph,5.3984375
1989,Adrian Rawlins,6.6015625
1989,Bernard Hepton,6.6015625
1989,David Daker,6.6015625
1989,Pauline Moran,6.6015625
1989,David Ryall,6.6015625
1989,Christian Slater,5.69921875
1989,Tony Hawk,5.69921875
1989,Stacy Peralta,5.69921875
1989,Rodney Mullen,5.69921875
1989,Peter Kwong,5.69921875
1989,Tony Danza,5.30078125
1989,Ami Dolenz,5.30078125
1989,Catherine Hicks,5.30078125
1989,Wallace Shawn,5.30078125
1989,Dick O'Neill,5.30078125
1989,Nick Nolte,6.5
1989,Martin Short,6.5
1989,Sarah Rowland Doroff,6.5
1989,James Earl Jones,6.5
1989,Alan Ruck,6.5
1989,Pamela Springsteen,5.30078125
1989,Tracy Griffith,5.30078125
1989,Michael J. Pollard,5.30078125
1989,Mark Oliver,5.30078125
1989,Haynes Brooke,5.30078125
1989,Jeffrey Combs,5.80078125
1989,Bruce Abbott,5.80078125
1989,Claude Earl Jones,5.80078125
1989,Fabiana Udenio,5.80078125
1989,David Gale,5.80078125
1989,Colin Firth,6.6015625
1989,Annette Bening,6.6015625
1989,Meg Tilly,6.6015625
1989,Fairuza Balk,6.6015625
1989,SiÃ¢n Phillips,6.6015625
1989,Matt Dillon,6.80078125
1989,Kelly Lynch,6.80078125
1989,James Le Gros,6.80078125
1989,Heather Graham,6.80078125
1989,Grace Zabriskie,6.80078125
1989,Fred Savage,6.5
1989,Luke Edwards,6.5
1989,Beau Bridges,6.5
1989,Christian Slater,6.5
1989,Jenny Lewis,6.5
1989,Jeff Goldblum,5.3984375
1989,Emma Thompson,5.3984375
1989,Rowan Atkinson,5.3984375
1989,Geraldine James,5.3984375
1989,Emil Wolk,5.3984375
1989,John Hurt,5.8984375
1989,Joanne Whalley,5.8984375
1989,Bridget Fonda,5.8984375
1989,Ian McKellen,5.8984375
1989,Jeroen KrabbÃ©,5.8984375
1989,Dennis Quaid,5.6015625
1989,Winona Ryder,5.6015625
1989,John Doe,5.6015625
1989,Stephen Tobolowsky,5.6015625
1989,Alec Baldwin,5.6015625
1989,"""Weird Al"" Yankovic",6.69921875
1989,Victoria Jackson,6.69921875
1989,Michael Richards,6.69921875
1989,David Bowe,6.69921875
1989,Fran Drescher,6.69921875
1989,Morgan Freeman,6.80078125
1989,Beverly Todd,6.80078125
1989,Robert Guillaume,6.80078125
1989,Ethan Phillips,6.80078125
1989,Lynne Thigpen,6.80078125
1989,Matthew Modine,6.1015625
1989,Christine Lahti,6.1015625
1989,Todd Field,6.1015625
1989,Daphne Zuniga,6.1015625
1989,Zakes Mokae,6.1015625
1989,Clint Eastwood,5.3984375
1989,Bernadette Peters,5.3984375
1989,Timothy Carhart,5.3984375
1989,Jim Carrey,5.3984375
1989,Tiffany Gail Robinson,5.3984375
1989,Robert Duvall,7.3984375
1989,Tommy Lee Jones,7.3984375
1989,Danny Glover,7.3984375
1989,Diane Lane,7.3984375
1989,Robert Urich,7.3984375
1989,Val Kilmer,5.8984375
1989,Joanne Whalley,5.8984375
1989,Michael Madsen,5.8984375
1989,Nick Dimitri,5.8984375
1989,Pat Mulligan,5.8984375
1989,Billy Warlock,5.69921875
1989,Connie Danese,5.69921875
1989,Ben Slack,5.69921875
1989,Evan Richards,5.69921875
1989,Patrice Jennings,5.69921875
1989,Fred Savage,5.69921875
1989,Howie Mandel,5.69921875
1989,Daniel Stern,5.69921875
1989,Margaret Whitton,5.69921875
1989,Rick Ducommun,5.69921875
1989,Kevin Kline,5.1015625
1989,Susan Sarandon,5.1015625
1989,Mary Elizabeth Mastrantonio,5.1015625
1989,Harvey Keitel,5.1015625
1989,Danny Aiello,5.1015625
1989,Richard Dreyfuss,7.1015625
1989,David Johansen,7.1015625
1989,Teri Garr,7.1015625
1989,Jennifer Tilly,7.1015625
1989,Allen Garfield,7.1015625
1989,Lance Henriksen,4.0
1989,Brion James,4.0
1989,Rita Taggart,4.0
1989,Dedee Pfeiffer,4.0
1989,Aron Eisenberg,4.0
1989,Antonio Resines,6.5
1989,JosÃ© Sazatornil,6.5
1989,Manuel Alexandre,6.5
1989,Fedra Lorente,6.5
1989,Luis Ciges,6.5
1989,Meryl Streep,6.3984375
1989,Ed Begley Jr.,6.3984375
1989,Linda Hunt,6.3984375
1989,Roseanne Barr,6.3984375
1989,Sylvia Miles,6.3984375
1989,Sean Connery,5.3984375
1989,Dustin Hoffman,5.3984375
1989,Matthew Broderick,5.3984375
1989,Rosanna DeSoto,5.3984375
1989,Janet Carroll,5.3984375
1989,Elizabeth Cox,5.80078125
1989,RenÃ©e Estevez,5.80078125
1989,Dan Hicks,5.80078125
1989,Bruce Campbell,5.80078125
1989,Sam Raimi,5.80078125
1989,Christopher Walken,4.8984375
1989,Lindsay Crouse,4.8984375
1989,Frances Sternhagen,4.8984375
1989,Andreas Katsulas,4.8984375
1989,Terri Hanauer,4.8984375
1989,Terry O'Quinn,5.6015625
1989,Meg Foster,5.6015625
1989,Caroline Williams,5.6015625
1989,Jonathan Brandis,5.6015625
1989,Henry Brown,5.6015625
1989,Jim Lovell,8.203125
1989,Russell Schweickart,8.203125
1989,Eugene Cernan,8.203125
1989,Michael Collins,8.203125
1989,Charles Conrad,8.203125
1990,Arnold Schwarzenegger,6.80078125
1990,Sharon Stone,6.80078125
1990,Rachel Ticotin,6.80078125
1990,Ronny Cox,6.80078125
1990,Michael Ironside,6.80078125
1990,Robert De Niro,8.0
1990,Ray Liotta,8.0
1990,Joe Pesci,8.0
1990,Lorraine Bracco,8.0
1990,Paul Sorvino,8.0
1990,Bruce Willis,6.3984375
1990,Bonnie Bedelia,6.3984375
1990,William Atherton,6.3984375
1990,Reginald VelJohnson,6.3984375
1990,Franco Nero,6.3984375
1990,Michael J. Fox,6.8984375
1990,Christopher Lloyd,6.8984375
1990,Mary Steenburgen,6.8984375
1990,Thomas F. Wilson,6.8984375
1990,Lea Thompson,6.8984375
1990,Johnny Depp,7.3984375
1990,Winona Ryder,7.3984375
1990,Dianne Wiest,7.3984375
1990,Alan Arkin,7.3984375
1990,Anthony Michael Hall,7.3984375
1990,Julia Roberts,6.8984375
1990,Richard Gere,6.8984375
1990,Ralph Bellamy,6.8984375
1990,Jason Alexander,6.8984375
1990,HÃ©ctor Elizondo,6.8984375
1990,Al Pacino,6.8984375
1990,Diane Keaton,6.8984375
1990,Andy GarcÃ­a,6.8984375
1990,Talia Shire,6.8984375
1990,Sofia Coppola,6.8984375
1990,Kevin Costner,7.30078125
1990,Mary McDonnell,7.30078125
1990,Graham Greene,7.30078125
1990,Rodney A. Grant,7.30078125
1990,Floyd Red Crow Westerman,7.30078125
1990,Patrick Swayze,6.69921875
1990,Demi Moore,6.69921875
1990,Tony Goldwyn,6.69921875
1990,Whoopi Goldberg,6.69921875
1990,Vincent Schiavelli,6.69921875
1990,Judith Hoag,6.6015625
1990,Elias Koteas,6.6015625
1990,Josh Pais,6.6015625
1990,Brian Tochi,6.6015625
1990,Leif Tilden,6.6015625
1990,James Caan,7.5
1990,Kathy Bates,7.5
1990,Richard Farnsworth,7.5
1990,Frances Sternhagen,7.5
1990,Lauren Bacall,7.5
1990,Sylvester Stallone,5.30078125
1990,Talia Shire,5.30078125
1990,Burt Young,5.30078125
1990,Sage Stallone,5.30078125
1990,Burgess Meredith,5.30078125
1990,Alex Vincent,5.8984375
1990,Jenny Agutter,5.8984375
1990,Gerrit Graham,5.8984375
1990,Christine Elise,5.8984375
1990,Brad Dourif,5.8984375
1990,Anjelica Huston,6.6015625
1990,Mai Zetterling,6.6015625
1990,Jasen Fisher,6.6015625
1990,Jane Horrocks,6.6015625
1990,Rowan Atkinson,6.6015625
1990,Alec Baldwin,6.8984375
1990,Sean Connery,6.8984375
1990,Scott Glenn,6.8984375
1990,Sam Neill,6.8984375
1990,James Earl Jones,6.8984375
1990,Kevin Peter Hall,5.69921875
1990,Danny Glover,5.69921875
1990,Gary Busey,5.69921875
1990,RubÃ©n Blades,5.69921875
1990,MarÃ­a Conchita Alonso,5.69921875
1990,Tom Cruise,5.80078125
1990,Robert Duvall,5.80078125
1990,Nicole Kidman,5.80078125
1990,Randy Quaid,5.80078125
1990,Cary Elwes,5.80078125
1990,Harry Anderson,6.5
1990,Dennis Christopher,6.5
1990,Richard Masur,6.5
1990,Annette O'Toole,6.5
1990,Tim Reid,6.5
1990,Gabriel Byrne,7.3984375
1990,Marcia Gay Harden,7.3984375
1990,John Turturro,7.3984375
1990,Jon Polito,7.3984375
1990,J.E. Freeman,7.3984375
1990,Zach Galligan,6.1015625
1990,Phoebe Cates,6.1015625
1990,John Glover,6.1015625
1990,Robert Prosky,6.1015625
1990,Robert Picardo,6.1015625
1990,Kevin Bacon,6.30078125
1990,Fred Ward,6.30078125
1990,Finn Carter,6.30078125
1990,Michael Gross,6.30078125
1990,Reba McEntire,6.30078125
1990,Peter Weller,5.30078125
1990,Belinda Bauer,5.30078125
1990,John Glover,5.30078125
1990,Gabriel Damon,5.30078125
1990,Mario Machado,5.30078125
1990,Jonathan Brandis,5.69921875
1990,Kenny Morrison,5.69921875
1990,Clarissa Burt,5.69921875
1990,John Wesley Shipp,5.69921875
1990,Martin Umbach,5.69921875
1990,John Travolta,5.1015625
1990,Kirstie Alley,5.1015625
1990,Bruce Willis,5.1015625
1990,Roseanne Barr,5.1015625
1990,Gilbert Gottfried,5.1015625
1990,Robert De Niro,7.3984375
1990,Robin Williams,7.3984375
1990,Julie Kavner,7.3984375
1990,Ruth Nelson,7.3984375
1990,John Heard,7.3984375
1990,Eddie Murphy,5.5
1990,Nick Nolte,5.5
1990,Brion James,5.5
1990,Kevin Tighe,5.5
1990,Ed O'Ross,5.5
1990,Alan Young,6.69921875
1990,Terence McGovern,6.69921875
1990,Russi Taylor,6.69921875
1990,Richard Libertini,6.69921875
1990,Christopher Lloyd,6.69921875
1990,Jean-Claude Van Damme,5.80078125
1990,Harrison Page,5.80078125
1990,Deborah Rennard,5.80078125
1990,Ashley Johnson,5.80078125
1990,Brian Thompson,5.80078125
1990,Jean-Claude Van Damme,5.3984375
1990,Robert Guillaume,5.3984375
1990,Cynthia Gibb,5.3984375
1990,Patrick Kilpatrick,5.3984375
1990,Art LaFleur,5.3984375
1990,GÃ©rard Depardieu,5.69921875
1990,Andie MacDowell,5.69921875
1990,Bebe Neuwirth,5.69921875
1990,Gregg Edelman,5.69921875
1990,Robert Prosky,5.69921875
1990,Viggo Mortensen,5.1015625
1990,Lindsay Duncan,5.1015625
1990,Duncan Fraser,5.1015625
1990,David Longworth,5.1015625
1990,Jeremy Cooper,5.1015625
1990,Harrison Ford,6.30078125
1990,Brian Dennehy,6.30078125
1990,RaÃºl JuliÃ¡,6.30078125
1990,Bonnie Bedelia,6.30078125
1990,Paul Winfield,6.30078125
1990,Tom Hanks,5.19921875
1990,Meg Ryan,5.19921875
1990,Lloyd Bridges,5.19921875
1990,Dan Hedaya,5.19921875
1990,Ossie Davis,5.19921875
1990,Nicolas Cage,6.5
1990,Laura Dern,6.5
1990,Willem Dafoe,6.5
1990,J.E. Freeman,6.5
1990,Crispin Glover,6.5
1990,Peter Sallis,7.30078125
1990,George C. Scott,5.8984375
1990,Ed Flanders,5.8984375
1990,Brad Dourif,5.8984375
1990,Jason Miller,5.8984375
1990,Nicol Williamson,5.8984375
1990,Kiefer Sutherland,6.0
1990,Julia Roberts,6.0
1990,Kevin Bacon,6.0
1990,William Baldwin,6.0
1990,Oliver Platt,6.0
1990,Matt Salinger,4.69921875
1990,Ronny Cox,4.69921875
1990,Scott Paulin,4.69921875
1990,Ned Beatty,4.69921875
1990,Darren McGavin,4.69921875
1990,Charlie Sheen,5.80078125
1990,Emilio Estevez,5.80078125
1990,Leslie Hope,5.80078125
1990,Keith David,5.80078125
1990,Dean Cameron,5.80078125
1990,Fred Ward,5.80078125
1990,Uma Thurman,5.80078125
1990,Maria de Medeiros,5.80078125
1990,Kevin Spacey,5.80078125
1990,Jean-Philippe Ã‰coffey,5.80078125
1990,Mel Gibson,5.1015625
1990,Robert Downey Jr.,5.1015625
1990,Nancy Travis,5.1015625
1990,Ken Jenkins,5.1015625
1990,David Marshall Grant,5.1015625
1990,Tim Robbins,6.80078125
1990,Elizabeth PeÃ±a,6.80078125
1990,Danny Aiello,6.80078125
1990,Matt Craven,6.80078125
1990,Pruitt Taylor Vince,6.80078125
1990,Sean Penn,6.1015625
1990,Gary Oldman,6.1015625
1990,Ed Harris,6.1015625
1990,Robin Wright,6.1015625
1990,John Turturro,6.1015625
1990,Johnny Depp,6.3984375
1990,Amy Locane,6.3984375
1990,Polly Bergen,6.3984375
1990,Susan Tyrrell,6.3984375
1990,Traci Lords,6.3984375
1990,Denzel Washington,6.0
1990,Spike Lee,6.0
1990,Wesley Snipes,6.0
1990,Giancarlo Esposito,6.0
1990,John Turturro,6.0
1990,Dolph Lundgren,5.3984375
1990,Brian Benben,5.3984375
1990,Betsy Brantley,5.3984375
1990,Matthias Hues,5.3984375
1990,Jay Bilas,5.3984375
1990,Christian Slater,6.80078125
1990,Annie Ross,6.80078125
1990,Scott Paulin,6.80078125
1990,Mimi Kennedy,6.80078125
1990,Andy Romano,6.80078125
1990,Emilio Estevez,6.1015625
1990,Kiefer Sutherland,6.1015625
1990,Lou Diamond Phillips,6.1015625
1990,Christian Slater,6.1015625
1990,William Petersen,6.1015625
1990,Mel Gibson,5.6015625
1990,Goldie Hawn,5.6015625
1990,Joan Severance,5.6015625
1990,David Carradine,5.6015625
1990,Stephen Tobolowsky,5.6015625
1990,Warren Beatty,5.69921875
1990,Al Pacino,5.69921875
1990,Madonna,5.69921875
1990,Charlie Korsmo,5.69921875
1990,Glenne Headly,5.69921875
1990,Liam Neeson,6.0
1990,Frances McDormand,6.0
1990,Colin Friels,6.0
1990,Larry Drake,6.0
1990,Nelson Mashita,6.0
1990,Don Johnson,6.3984375
1990,Virginia Madsen,6.3984375
1990,Jennifer Connelly,6.3984375
1990,Charles Martin Smith,6.3984375
1990,William Sadler,6.3984375
1990,Mia Farrow,5.8984375
1990,William Hurt,5.8984375
1990,Joe Mantegna,5.8984375
1990,Alec Baldwin,5.8984375
1990,Blythe Danner,5.8984375
1990,Patricia Tallman,6.69921875
1990,Tony Todd,6.69921875
1990,Tom Towles,6.69921875
1990,McKee Anderson,6.69921875
1990,Bill Moseley,6.69921875
1990,Anjelica Huston,6.5
1990,John Cusack,6.5
1990,Annette Bening,6.5
1990,Jan Munroe,6.5
1990,Stephen Tobolowsky,6.5
1990,Jamie Lee Curtis,5.3984375
1990,Ron Silver,5.3984375
1990,Clancy Brown,5.3984375
1990,Louise Fletcher,5.3984375
1990,Philip Bosco,5.3984375
1990,Robin Williams,4.0
1990,Tim Robbins,4.0
1990,Pamela Reed,4.0
1990,Fran Drescher,4.0
1990,Zack Norman,4.0
1990,Tom Hanks,4.80078125
1990,Bruce Willis,4.80078125
1990,Melanie Griffith,4.80078125
1990,Kim Cattrall,4.80078125
1990,Saul Rubinek,4.80078125
1990,Steven Seagal,6.0
1990,Basil Wallace,6.0
1990,Keith David,6.0
1990,Tom Wright,6.0
1990,Joanna Pacula,6.0
1990,Frances McDormand,6.5
1990,Brian Cox,6.5
1990,Brad Dourif,6.5
1990,Mai Zetterling,6.5
1990,Bernard Archard,6.5
1990,Gary Oldman,6.69921875
1990,Tim Roth,6.69921875
1990,Richard Dreyfuss,6.69921875
1990,Livio Badurina,6.69921875
1990,Tomislav Maretic,6.69921875
1990,Arnold Schwarzenegger,5.69921875
1990,Penelope Ann Miller,5.69921875
1990,Pamela Reed,5.69921875
1990,Linda Hunt,5.69921875
1990,Richard Tyson,5.69921875
1990,Nicolas Cage,3.80078125
1990,Tommy Lee Jones,3.80078125
1990,Sean Young,3.80078125
1990,Bryan Kestner,3.80078125
1990,Dale Dye,3.80078125
1990,Steve Martin,6.3984375
1990,Rick Moranis,6.3984375
1990,Joan Cusack,6.3984375
1990,Melanie Mayron,6.3984375
1990,Bill Irwin,6.3984375
1990,Marlon Brando,6.69921875
1990,Matthew Broderick,6.69921875
1990,Bruno Kirby,6.69921875
1990,Penelope Ann Miller,6.69921875
1990,Frank Whaley,6.69921875
1990,Christopher Walken,6.19921875
1990,David Caruso,6.19921875
1990,Laurence Fishburne,6.19921875
1990,Victor Argo,6.19921875
1990,Wesley Snipes,6.19921875
1990,David Andrews,4.69921875
1990,Kelly Wolf,4.69921875
1990,Stephen Macht,4.69921875
1990,Robert Alan Beuth,4.69921875
1990,Andrew Divoff,4.69921875
1990,George O'Hanlon,5.80078125
1990,Mel Blanc,5.80078125
1990,Penny Singleton,5.80078125
1990,Tiffany,5.80078125
1990,Patric Zimmerman,5.80078125
1990,Debra Winger,6.19921875
1990,John Malkovich,6.19921875
1990,Campbell Scott,6.19921875
1990,Jill Bennett,6.19921875
1990,Timothy Spall,6.19921875
1990,Dylan McDermott,5.1015625
1990,Stacey Travis,5.1015625
1990,William Hootkins,5.1015625
1990,Carl McCoy,5.1015625
1990,Iggy Pop,5.1015625
1990,Bill Murray,6.30078125
1990,Geena Davis,6.30078125
1990,Randy Quaid,6.30078125
1990,Jason Robards,6.30078125
1990,Stanley Tucci,6.30078125
1990,Balthazar Getty,6.6015625
1990,Chris Furrh,6.6015625
1990,Danuel Pipoly,6.6015625
1990,James Badge Dale,6.6015625
1990,Andrew Taft,6.6015625
