release_year,director
1960,Alfred Hitchcock
1960,John Sturges
1960,Stanley Kubrick
1960,Billy Wilder
1960,George Cukor
1960,George Pal
1960,Michael Powell
1960,Ken Annakin
1960,Lewis Milestone
1960,John Huston
1960,Stanley Donen
1960,Terence Fisher
1960,Roger Corman
1960,Karel Reisz
1960,John Ford
1960,Budd Boetticher
1960,Don Siegel
1960,David Swift
1960,David Miller
1960,Roger Corman
1960,John Wayne
1960,Lewis Gilbert
1960,Stanley Kramer
1960,Irwin Allen
1960,Richard Brooks
1960,Gerald Thomas
1960,Wolf Rilla
1960,Jerry Lewis
1960,William Castle
1960,Frank Tashlin
1960,John Llewellyn Moxey
1960,Otto Preminger
1961,Clyde Geronimi
1961,Hamilton Luske
1961,Wolfgang Reitherman
1961,Blake Edwards
1961,Jerome Robbins
1961,Robert Wise
1961,J. Lee Thompson
1961,Alexander Mackendrick
1961,George Pollock
1961,Stanley Kramer
1961,David Swift
1961,Michael Curtiz
1961,Anthony Mann
1961,Jack Clayton
1961,Robert Rossen
1961,Nicholas Ray
1961,John Huston
1961,Robert Stevenson
1961,Roger Corman
1961,Cy Endfield
1961,Elia Kazan
1961,Terence Fisher
1961,William Wyler
1961,Jack Donohue
1961,Austen Jewell
1961,Marlon Brando
1961,Billy Wilder
1961,Yuri Chulyukin
1961,Richard Fleischer
1961,Frank Capra
1961,Norman Taurog
1961,Sergio Leone
1961,Val Guest
1961,Jerry Lewis
1961,John Ford
1961,Daniel Petrie
1962,Terence Young
1962,David Lean
1962,Stanley Kubrick
1962,Robert Mulligan
1962,John Frankenheimer
1962,Howard Hawks
1962,J. Lee Thompson
1962,John Ford
1962,Henry Hathaway
1962,George Marshall
1962,Richard Thorpe
1962,Lewis Milestone
1962,John Ford
1962,Rudolph Mat̩
1962,Blake Edwards
1962,Tony Richardson
1962,Morton DaCosta
1962,Peter Graham Scott
1962,Robert Aldrich
1962,Orson Welles
1962,John Frankenheimer
1962,Vittorio De Sica
1962,Federico Fellini
1962,Luchino Visconti
1962,Mario Monicelli
1962,Ken Annakin
1962,Andrew Marton
1962,Bernhard Wicki
1962,Joseph Green
1962,Blake Edwards
1962,Arthur Penn
1962,Roger Corman
1962,Ray Milland
1962,Roger Corman
1962,Robert Stevenson
1962,Don Siegel
1962,Herk Harvey
1962,Sam Peckinpah
1962,Otto Preminger
1962,Delbert Mann
1963,Terence Young
1963,Wolfgang Reitherman
1963,Alfred Hitchcock
1963,Stanley Donen
1963,Heinz Dunkhase
1963,Joseph L. Mankiewicz
1963,Rouben Mamoulian
1963,Darryl F. Zanuck
1963,Stanley Kramer
1963,Blake Edwards
1963,John Sturges
1963,Robert Wise
1963,Peter Brook
1963,Billy Wilder
1963,George Pollock
1963,Freddie Francis
